,Time,Frequency,amplitude
0,0.0,-0.00482179404436,1.60544016387e-06
1,0.005,-0.00654688280917,8.1771351863e-07
2,0.01,-0.0111241005342,8.38967595678e-07
3,0.015,-0.005216123695,5.87313075272e-07
4,0.02,-0.0132080488161,6.05309876318e-07
5,0.025,-0.00197779887793,4.59563178259e-07
6,0.03,-0.012238719405,4.75605644094e-07
7,0.035,0.00282706038072,3.74690933176e-07
8,0.04,-0.00793392630169,3.89339355864e-07
9,0.045,0.00894626874199,3.13023466896e-07
10,0.05,0.000389686419058,3.26589557876e-07
11,0.055,0.0160931424257,2.65732410665e-07
12,0.06,0.0137043196548,2.78414507955e-07
13,0.065,0.0238917411573,2.28124990181e-07
14,0.07,0.0333076906536,2.40060312122e-07
15,0.075,0.0318280786339,1.97422025038e-07
16,0.08,0.0608991329361,2.08711074399e-07
17,0.085,0.0391884962389,1.71848846594e-07
18,0.09,0.0987063508254,1.82568368731e-07
19,0.095,0.0449815371491,1.50207561516e-07
20,0.1,0.14967291948,1.60418048575e-07
21,0.105,0.0478263408293,1.316545563e-07
22,0.11,0.217719831992,1.41404852162e-07
23,0.115,0.0457694257707,1.15575645343e-07
24,0.12,0.308126598782,1.24905934058e-07
25,0.125,0.0360764299205,1.01511984226e-07
26,0.13,0.428159394635,1.10455842914e-07
27,0.135,0.0148707210024,8.91140136947e-08
28,0.14,0.587946317773,9.76996162896e-08
29,0.145,-0.0234376353942,7.81116750126e-08
30,0.15,0.8018226317,8.63624728268e-08
31,0.155,-0.0870299966035,6.82948792334e-08
32,0.16,1.09038331881,7.6229775856e-08
33,0.165,-0.188062626696,5.95007275475e-08
34,0.17,1.4835950176,6.71336610301e-08
35,0.175,-0.344840701732,5.16055861401e-08
36,0.18,2.0253805091,5.89442826791e-08
37,0.185,-0.58515235948,4.45211396414e-08
38,0.19,2.77981462313,5.15645658539e-08
39,0.195,-0.951005184423,3.81943094853e-08
40,0.2,3.83745903312,4.49279712947e-08
41,0.205,-1.50391566995,3.26115009809e-08
42,0.21,5.31448025751,3.89992139119e-08
43,0.215,-2.32553401302,2.78075894673e-08
44,0.22,7.32096408156,3.37780417838e-08
45,0.225,-3.49584322484,2.38774089106e-08
46,0.23,9.84849357988,2.93055543693e-08
47,0.235,-5.01106699542,2.09773861412e-08
48,0.24,12.5530784071,2.56696341394e-08
49,0.245,-6.62911983571,1.92856556051e-08
50,0.25,14.6473343142,2.29986968757e-08
51,0.255,-7.82505888283,1.88948080622e-08
52,0.26,15.3274255744,2.14242437442e-08
53,0.265,-8.14940072821,1.97056279975e-08
54,0.27,14.4688271522,2.10053738273e-08
55,0.275,-7.64784844524,2.14539885481e-08
56,0.28,12.657689496,2.16631788863e-08
57,0.285,-6.71543985521,2.38422948022e-08
58,0.29,10.6033683057,2.31969151391e-08
59,0.295,-5.70655987239,2.66324923839e-08
60,0.3,8.73263700359,2.53673817382e-08
61,0.305,-4.79653257938,2.96631951485e-08
62,0.31,7.1872757968,2.79670346551e-08
63,0.315,-4.03419573722,3.28325704413e-08
64,0.32,5.96106997208,3.08432243436e-08
65,0.325,-3.41272934247,3.6077918212e-08
66,0.33,4.99946478459,3.38924110644e-08
67,0.335,-2.90879544022,3.93607582862e-08
68,0.34,4.24369230297,3.70466988854e-08
69,0.345,-2.49814351873,4.26573525166e-08
70,0.35,3.64451425086,4.02619541087e-08
71,0.355,-2.16031228885,4.59529281354e-08
72,0.36,3.16406694937,4.35093601984e-08
73,0.365,-1.87926130059,4.92381643295e-08
74,0.37,2.77413331512,4.67698452397e-08
75,0.375,-1.64279251593,5.25069996719e-08
76,0.38,2.45378618199,5.00304372536e-08
77,0.385,-1.44180877594,5.57551983031e-08
78,0.39,2.18749965612,5.32820966457e-08
79,0.395,-1.26934461162,5.89799227946e-08
80,0.4,1.96381308329,5.65188232296e-08
81,0.405,-1.11991130077,6.2179660875e-08
82,0.41,1.77414836325,5.97368239165e-08
83,0.415,-0.989276330842,6.53536481697e-08
84,0.42,1.61190738832,6.29334788135e-08
85,0.425,-0.874265995121,6.8501273324e-08
86,0.43,1.47188220029,6.61067224812e-08
87,0.435,-0.772361658559,7.1622086507e-08
88,0.44,1.35019614218,6.92554614712e-08
89,0.445,-0.681413874721,7.47163607099e-08
90,0.45,1.24378732856,7.23793395619e-08
91,0.455,-0.599710047501,7.77845744047e-08
92,0.46,1.1502196647,7.54783048204e-08
93,0.465,-0.5258597424,8.08272486867e-08
94,0.47,1.06752123073,7.85524026641e-08
95,0.475,-0.458723395765,8.38447998365e-08
96,0.48,0.994100282605,8.16016565886e-08
97,0.485,-0.397365198077,8.68374472984e-08
98,0.49,0.928635076419,8.46258841137e-08
99,0.495,-0.341037626753,8.98050389379e-08
100,0.5,0.870018837898,8.76245602323e-08
101,0.505,-0.28912228187,9.27470191781e-08
102,0.51,0.817331515862,9.05968095067e-08
103,0.515,-0.241106574458,9.56623990264e-08
104,0.52,0.769800872201,9.35413184402e-08
105,0.525,-0.196561280873,9.85496513391e-08
106,0.53,0.726752329606,9.64561455576e-08
107,0.535,-0.155247631313,1.01406339219e-07
108,0.54,0.687372352652,9.93381317119e-08
109,0.545,-0.117238829919,1.04228741124e-07
110,0.55,0.650945881649,1.02183596423e-07
111,0.555,-0.0823532112124,1.07013881183e-07
112,0.56,0.617201635286,1.04990666566e-07
113,0.565,-0.0502236437744,1.09760681366e-07
114,0.57,0.585923836727,1.07758781916e-07
115,0.575,-0.0205476709278,1.12468831724e-07
116,0.58,0.556900033593,1.10487862169e-07
117,0.585,0.00693055085042,1.15138375452e-07
118,0.59,0.529932722621,1.13178092545e-07
119,0.595,0.0324312648106,1.17769569117e-07
120,0.6,0.504841727954,1.15829826758e-07
121,0.605,0.0561458819982,1.20362809563e-07
122,0.61,0.481464032799,1.1844353184e-07
123,0.615,0.0782418504563,1.22918589738e-07
124,0.62,0.459652705564,1.21019753237e-07
125,0.625,0.0988664105744,1.25437469733e-07
126,0.63,0.439275520402,1.23559091251e-07
127,0.635,0.118149595367,1.27920056784e-07
128,0.64,0.42021352355,1.26062184431e-07
129,0.645,0.136206679856,1.30366990923e-07
130,0.65,0.402359655501,1.28529697472e-07
131,0.655,0.153140207486,1.32778934421e-07
132,0.66,0.385617477029,1.30962312214e-07
133,0.665,0.169041685448,1.35156563845e-07
134,0.67,0.369900012743,1.33360720801e-07
135,0.675,0.183993012782,1.37500563998e-07
136,0.68,0.355128715819,1.35725620436e-07
137,0.685,0.198067690792,1.39811623239e-07
138,0.69,0.341232546494,1.38057709301e-07
139,0.695,0.211331855975,1.4209042983e-07
140,0.7,0.328147154418,1.4035768337e-07
141,0.705,0.223845164084,1.44337669078e-07
142,0.71,0.315814156581,1.42626233905e-07
